Word;Alternate;Rank;Translation;Note;Word Class
de;de;0.;prep. of, to, from;;prep
je;je;1.;pro. I;;pro
pas;pas;2.;adv. not;;adv
le;le;3.;art. the  pro. it;;art pro
que;que;4.;"conj. than; that  pro. what";;conj pro
la;la;5.;art. the;;art
tu;tu;6.;pro. you;;pro
vous;vous;7.;"pro. you (singular, formal); you (plural, formal or informal)";;pro
un;un;8.;art. a, an  num. pro. one;;art num pro
et;et;9.;conj. and;;conj
à;à;10.;prep. to, in, at;;prep
il;il;11.;pro. it, he;;pro
ne;ne;12.;part. not;;part
les;les;13.;art. the (plural)  pro. them;;art pro
en;en;14.;prep. in, into, to;;prep
on;on;15.;"pro. we; you, they, someone";;pro
ça;ça;16.;pro. it, this, that;;pro
ce;ce;17.;pro. det. this, that;Est-ce vous ?  /  C'est un acteur.  /  C'est une actrice.;det pro
pour;pour;18.;prep. for, to;;prep
qui;qui;19.;"pro. conj. which, that, who;";À qui est-ce ?;conj pro
mais;mais;20.;conj. but;;conj
dans;dans;21.;prep. in, into, within;;prep
nous;nous;22.;pro. we, us;;pro
elle;elle;23.;pro. it, she, her;;pro
bien;bien;24.;adv. well, good;;adv
me;me;25.;pro. me, myself;;pro
si;si;26.;conj. if, whether  adv. so, such (intensifier);;adv conj
y;y;27.;pron. there (at a place), to there;;pron
non;non;28.;adv. not, no;Est-ce un non ?;adv
avec;avec;29.;prep. with;Je suis avec vous.;prep
tout;tout;30.;adv. pro. all;Il est tout à vous.;adv pro
plus;plus;31.;adv. more, most;;adv
mon;mon;32.;pro. det. my;;det pro
te;te;33.;pro. you, thee, yourself;;pro
moi;moi;34.;pro. me, I;Est-ce pour moi ?;pro
oui;oui;35.;part. yes, yeah;;part
faire;faire;36.;v. to do, to make;;v
ils;ils;37.;pro. they (masculine);;pro
sur;sur;38.;prep. on, upon;;prep
quoi;quoi;39.;pro. what, which;Ça fait quoi ?;pro
se;se;40.;pro. to themselves, to himself, to herself, to oneself;;pro
comme;comme;41.;"conj. as, like; how";;conj
être;être;42.;v. to be;;v
ici;ici;43.;adv. here;Tout est ici.  /  Elle est ici.  /  Qui était ici ?  /  Il est ici pour moi.  /  Qui est ici avec vous ?;adv
lui;lui;44.;"pro. he; him, her";Elle est tout pour lui.  /  Je lui ai dit quoi faire.  /  Elle le lui a fait faire.;pro
votre;votre;45.;pro. det. your;;det pro
pourquoi;pourquoi;46.;adv. why;Sais-tu pourquoi ?;adv
où;où;47.;adv. where;Où est-ce ?  /  Où suis-je ?  /  Je sais où elle est.;adv
rien;rien;48.;pro. nothing;;pro
là;là;49.;adv. there;Qui va là ?  /  Je sais que tu es là.  /  Je veux être là avec toi.;adv
quand;quand;50.;conj. adv. when;;adv conj
dire;dire;51.;v. to say, to tell, to speak;;v
son;son;52.;pro. det. its, his, her;;det pro
ton;ton;53.;pro. det. your;;det pro
alors;alors;54.;adv. then, so;;adv
comment;comment;55.;adv. how;Comment était-elle ?  /  Comment est-il ?  /  Comment il va ?  /  Je sais comment le faire.;adv
par;par;56.;prep. by, through;;prep
ou;ou;57.;conj. or;As-tu dit oui ou non ?;conj
chose;la chose;58.;n. thing;;n
bon;bon;59.;adj. good, right, well;;adj
merci;merci;60.;int. thanks!;;int
juste;juste;61.;adj. adv. just, fair;Ça va être juste.  /  Ils sont juste pour toi.;adj adv
très;très;62.;adv. very, highly, much;Très bien.  /  Tout était très bon.  /  Tu es très bon à ça.  /  Tu sais très bien ce que je veux.;adv
jamais;jamais;63.;adv. never, ever;;adv
avoir;avoir;64.;v. to have;Je sais ce que vous avez fait.;v
vraiment;vraiment;65.;adv. really, truly, actually;Tu es vraiment bon.  /  Est-ce vraiment toi ?;adv
aussi;aussi;66.;adv. conj. also, too;;adv conj
voir;voir;67.;v. to see, to view;Je peux te voir à 2:30.  /  Je vais voir ce que je peux faire.;v
oh;oh;68.;int. oh;;int
même;même;69.;adj. same  adv. even;;adj adv
maintenant;maintenant;70.;adv. now;;adv
deux;deux;71.;num. two;;num
